"ProcessName","Path","Id"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\118.0.2088.69\msedgewebview2.exe","8004"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\118.0.2088.69\msedgewebview2.exe","9740"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\118.0.2088.69\msedgewebview2.exe","9776"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\118.0.2088.69\msedgewebview2.exe","13248"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\118.0.2088.69\msedgewebview2.exe","14472"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\118.0.2088.69\msedgewebview2.exe","15152"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\118.0.2088.69\msedgewebview2.exe","18580"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\118.0.2088.69\msedgewebview2.exe","19176"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\118.0.2088.69\msedgewebview2.exe","21256"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\118.0.2088.69\msedgewebview2.exe","21796"
"msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\118.0.2088.69\msedgewebview2.exe","21928"
"MSI.CentralServer",,"7404"
"MSI.TerminalServer",,"21640"
"MSI_Central_Service",,"5276"
"MSIAPService",,"5236"
"MSIService",,"5248"
"MsMpEng",,"5624"
"Mystic_Light_Service",,"5404"
"nahimicNotifSys","C:\Users\22cha\AppData\Local\NhNotifSys\nahimic\nahimicNotifSys.exe","18788"
"NahimicService",,"5416"
"NisSrv",,"6736"
"nvcontainer",,"5440"
"nvcontainer","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe","13076"
"NVDisplay.Container",,"3020"
"NVDisplay.Container",,"14224"
"NVIDIA Web Helper","C:\Program Files (x86)\NVIDIA Corporation\NvNode\NVIDIA Web Helper.exe","10360"
"OfficeClickToRun",,"5028"
"OmApSvcBroker",,"7656"
"OneApp.IGCC.WinService",,"5068"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","1548"
"Razer Central","C:\Program Files (x86)\Razer\Razer Services\Razer Central\Razer Central.exe","1320"
"Razer Synapse 3","C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe","9384"
"Razer Synapse Service",,"8368"
"Razer Synapse Service Process","C:\Program Files (x86)\Razer\Synapse3\Service\..\UserProcess\Razer Synapse Service Process.exe","2012"
"RazerCentralService",,"5488"
"Registry",,"124"
"RtkAudUService64",,"5496"
"RtkAudUService64","C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_a4555e9b35287491\RtkAudUService64.exe","18260"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9064"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","12884"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","15900"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","17276"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","18644"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","20048"
"SearchApp","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","19960"
"SearchApp","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","21748"
"SearchFilterHost",,"16876"
"SearchIndexer",,"10868"
"SearchProtocolHost",,"22812"
"SecurityHealthService",,"13280"
